participant,participant_index,has_gsr,trial,type,sound,file_A,file_B,choice,A_delta,B_delta,phys_choice,match
20260430_233729_1,0,True,1,PRIMING,mixed,audio/scream_225.wav,audio/bear_225.wav,A,6.228813559322134,6.228813559322134,B,False
20260430_233729_1,0,True,2,PRIMING,mixed,audio/death_whistle_225.wav,audio/white_noise_225.wav,A,5.754098360655689,5.754098360655689,B,False
20260430_233729_1,0,True,3,AMBIG_AMBIG,bear,audio/bear_0.wav,audio/bear_315.wav,A,4.836065573770384,4.836065573770384,B,False
20260430_233729_1,0,True,4,DIST_DIST,tiger,audio/tiger_270.wav,audio/tiger_90.wav,A,4.0,4.0,B,False
20260430_233729_1,0,True,5,DIST_DIST,white_noise,audio/white_noise_90.wav,audio/white_noise_270.wav,A,4.147540983606632,3.5573770491803316,A,True
20260430_233729_1,0,True,6,AMBIG_AMBIG,scream,audio/scream_45.wav,audio/scream_225.wav,B,6.953757225433492,4.475409836065637,A,False
20260430_233729_1,0,True,7,AMBIG_DIST,white_noise,audio/white_noise_270.wav,audio/white_noise_315.wav,A,4.147540983606632,3.885245901639337,A,True
20260430_233729_1,0,True,8,DIST_DIST,scream,audio/scream_270.wav,audio/scream_90.wav,B,4.65573770491801,4.65573770491801,B,True
20260430_233729_1,0,True,9,AMBIG_DIST,bear,audio/bear_315.wav,audio/bear_90.wav,A,5.163934426229616,5.163934426229616,B,False
20260430_233729_1,0,True,10,AMBIG_DIST,zombie,audio/zombie_270.wav,audio/zombie_315.wav,B,3.4918032786886215,3.4918032786886215,B,True
20260430_233729_1,0,True,11,AMBIG_AMBIG,zombie,audio/zombie_225.wav,audio/zombie_315.wav,B,6.262295081967295,6.262295081967295,B,True
20260430_233729_1,0,True,12,AMBIG_DIST,zombie,audio/zombie_90.wav,audio/zombie_315.wav,A,5.262295081967295,5.262295081967295,B,False
20260430_233729_1,0,True,13,AMBIG_DIST,zombie,audio/zombie_180.wav,audio/zombie_90.wav,A,2.885245901639337,2.885245901639337,B,False
20260430_233729_1,0,True,14,AMBIG_DIST,tiger,audio/tiger_270.wav,audio/tiger_45.wav,B,60.68852459016398,60.68852459016398,B,True
20260430_235916_2,1,True,1,PRIMING,mixed,audio/death_whistle_90.wav,audio/scream_90.wav,B,5.672131147540995,5.672131147540995,B,True
20260430_235916_2,1,True,2,PRIMING,mixed,audio/death_whistle_315.wav,audio/white_noise_315.wav,A,27.180327868852373,27.180327868852373,B,False
20260430_235916_2,1,True,3,AMBIG_AMBIG,zombie,audio/zombie_315.wav,audio/zombie_225.wav,B,15.180327868852373,15.180327868852373,B,True
20260430_235916_2,1,True,4,AMBIG_DIST,white_noise,audio/white_noise_315.wav,audio/white_noise_90.wav,A,3.9672131147540313,3.9672131147540313,B,False
20260430_235916_2,1,True,5,AMBIG_DIST,tiger,audio/tiger_270.wav,audio/tiger_45.wav,B,6.885245901639337,6.885245901639337,B,True
20260430_235916_2,1,True,6,AMBIG_AMBIG,zombie,audio/zombie_225.wav,audio/zombie_180.wav,B,7.671428571428578,7.671428571428578,B,True
20260430_235916_2,1,True,7,DIST_DIST,death_whistle,audio/death_whistle_90.wav,audio/death_whistle_270.wav,B,5.647058823529505,12.34426229508199,B,True
20260430_235916_2,1,True,8,AMBIG_AMBIG,scream,audio/scream_135.wav,audio/scream_0.wav,B,9.180327868852373,9.180327868852373,B,True
20260430_235916_2,1,True,9,AMBIG_DIST,bear,audio/bear_90.wav,audio/bear_180.wav,A,3.688524590163979,3.688524590163979,B,False
20260430_235916_2,1,True,10,AMBIG_DIST,death_whistle,audio/death_whistle_135.wav,audio/death_whistle_90.wav,A,6.426229508196684,6.426229508196684,B,False
20260430_235916_2,1,True,11,AMBIG_DIST,zombie,audio/zombie_270.wav,audio/zombie_225.wav,B,6.442622950819668,6.442622950819668,B,True
20260430_235916_2,1,True,12,AMBIG_DIST,tiger,audio/tiger_270.wav,audio/tiger_0.wav,B,5.34426229508199,5.34426229508199,B,True
20260430_235916_2,1,True,13,DIST_DIST,white_noise,audio/white_noise_270.wav,audio/white_noise_90.wav,B,3.5409836065573472,3.5409836065573472,B,True
20260430_235916_2,1,True,14,DIST_DIST,zombie,audio/zombie_270.wav,audio/zombie_90.wav,A,5.524590163934363,5.524590163934363,B,False
20260501_001734_3,2,True,1,PRIMING,mixed,audio/white_noise_225.wav,audio/zombie_225.wav,B,54.80487804878044,54.80487804878044,B,True
20260501_001734_3,2,True,2,PRIMING,mixed,audio/bear_0.wav,audio/scream_0.wav,B,5.536585365853625,5.536585365853625,B,True
20260501_001734_3,2,True,3,AMBIG_DIST,tiger,audio/tiger_45.wav,audio/tiger_90.wav,B,10.195121951219562,10.195121951219562,B,True
20260501_001734_3,2,True,4,AMBIG_AMBIG,zombie,audio/zombie_180.wav,audio/zombie_225.wav,B,7.463414634146375,7.463414634146375,B,True
20260501_001734_3,2,True,5,DIST_DIST,white_noise,audio/white_noise_270.wav,audio/white_noise_90.wav,A,6.121951219512084,6.121951219512084,B,False
20260501_001734_3,2,True,6,AMBIG_DIST,zombie,audio/zombie_0.wav,audio/zombie_270.wav,A,3.6829268292683537,3.6829268292683537,B,False
20260501_001734_3,2,True,7,DIST_DIST,death_whistle,audio/death_whistle_90.wav,audio/death_whistle_270.wav,A,8.390243902439124,11.414634146341541,B,False
20260501_001734_3,2,True,8,AMBIG_DIST,white_noise,audio/white_noise_135.wav,audio/white_noise_270.wav,A,4.560975609756042,4.560975609756042,B,False
20260501_001734_3,2,True,9,AMBIG_DIST,white_noise,audio/white_noise_270.wav,audio/white_noise_225.wav,B,5.146341463414728,5.146341463414728,B,True
20260501_001734_3,2,True,10,AMBIG_DIST,tiger,audio/tiger_315.wav,audio/tiger_90.wav,B,6.9268292682927495,6.9268292682927495,B,True
20260501_001734_3,2,True,11,DIST_DIST,tiger,audio/tiger_90.wav,audio/tiger_270.wav,A,6.170731707317145,5.0731707317072505,A,True
20260501_001734_3,2,True,12,AMBIG_AMBIG,scream,audio/scream_315.wav,audio/scream_45.wav,A,7.463414634146375,7.463414634146375,B,False
20260501_001734_3,2,True,13,AMBIG_DIST,zombie,audio/zombie_180.wav,audio/zombie_90.wav,A,7.63414634146352,7.63414634146352,B,False
20260501_001734_3,2,True,14,AMBIG_AMBIG,zombie,audio/zombie_45.wav,audio/zombie_315.wav,B,6.585365853658459,6.585365853658459,B,True
20260501_003029_4,3,True,1,PRIMING,mixed,audio/zombie_270.wav,audio/scream_270.wav,A,0.8809953584320738,0.8809953584320738,B,False
