participant,participant_index,has_gsr,trial,type,sound,sound_group,file_A,file_B,choice,A_angle,B_angle,A_kind,B_kind,pair_class,trial_type_matches_inferred,chosen_side,chosen_angle,chosen_is_ambiguous,A_delta,B_delta,phys_choice,match
20260430_233729_1,0,True,1,PRIMING,mixed,other,audio/scream_225.wav,audio/bear_225.wav,A,225,225,ambiguous,ambiguous,AMBIG_AMBIG,,A,225,1,6.228813559322134,6.228813559322134,B,0.0
20260430_233729_1,0,True,2,PRIMING,mixed,other,audio/death_whistle_225.wav,audio/white_noise_225.wav,A,225,225,ambiguous,ambiguous,AMBIG_AMBIG,,A,225,1,5.754098360655689,5.754098360655689,B,0.0
20260430_233729_1,0,True,3,AMBIG_AMBIG,bear,scary,audio/bear_0.wav,audio/bear_315.wav,A,0,315,ambiguous,ambiguous,AMBIG_AMBIG,True,A,0,1,4.836065573770384,4.836065573770384,B,0.0
20260430_233729_1,0,True,4,DIST_DIST,tiger,scary,audio/tiger_270.wav,audio/tiger_90.wav,A,270,90,discrete,discrete,DIST_DIST,True,A,270,0,4.0,4.0,B,0.0
20260430_233729_1,0,True,5,DIST_DIST,white_noise,white_noise,audio/white_noise_90.wav,audio/white_noise_270.wav,A,90,270,discrete,discrete,DIST_DIST,True,A,90,0,4.147540983606632,3.5573770491803316,A,1.0
20260430_233729_1,0,True,6,AMBIG_AMBIG,scream,scary,audio/scream_45.wav,audio/scream_225.wav,B,45,225,ambiguous,ambiguous,AMBIG_AMBIG,True,B,225,1,6.953757225433492,4.475409836065637,A,0.0
20260430_233729_1,0,True,7,AMBIG_DIST,white_noise,white_noise,audio/white_noise_270.wav,audio/white_noise_315.wav,A,270,315,discrete,ambiguous,AMBIG_DIST,True,A,270,0,4.147540983606632,3.885245901639337,A,1.0
20260430_233729_1,0,True,8,DIST_DIST,scream,scary,audio/scream_270.wav,audio/scream_90.wav,B,270,90,discrete,discrete,DIST_DIST,True,B,90,0,4.65573770491801,4.65573770491801,B,1.0
20260430_233729_1,0,True,9,AMBIG_DIST,bear,scary,audio/bear_315.wav,audio/bear_90.wav,A,315,90,ambiguous,discrete,AMBIG_DIST,True,A,315,1,5.163934426229616,5.163934426229616,B,0.0
20260430_233729_1,0,True,10,AMBIG_DIST,zombie,scary,audio/zombie_270.wav,audio/zombie_315.wav,B,270,315,discrete,ambiguous,AMBIG_DIST,True,B,315,1,3.4918032786886215,3.4918032786886215,B,1.0
20260430_233729_1,0,True,11,AMBIG_AMBIG,zombie,scary,audio/zombie_225.wav,audio/zombie_315.wav,B,225,315,ambiguous,ambiguous,AMBIG_AMBIG,True,B,315,1,6.262295081967295,6.262295081967295,B,1.0
20260430_233729_1,0,True,12,AMBIG_DIST,zombie,scary,audio/zombie_90.wav,audio/zombie_315.wav,A,90,315,discrete,ambiguous,AMBIG_DIST,True,A,90,0,5.262295081967295,5.262295081967295,B,0.0
20260430_233729_1,0,True,13,AMBIG_DIST,zombie,scary,audio/zombie_180.wav,audio/zombie_90.wav,A,180,90,ambiguous,discrete,AMBIG_DIST,True,A,180,1,2.885245901639337,2.885245901639337,B,0.0
20260430_233729_1,0,True,14,AMBIG_DIST,tiger,scary,audio/tiger_270.wav,audio/tiger_45.wav,B,270,45,discrete,ambiguous,AMBIG_DIST,True,B,45,1,60.68852459016398,60.68852459016398,B,1.0
20260430_235916_2,1,True,1,PRIMING,mixed,other,audio/death_whistle_90.wav,audio/scream_90.wav,B,90,90,discrete,discrete,DIST_DIST,,B,90,0,5.672131147540995,5.672131147540995,B,1.0
20260430_235916_2,1,True,2,PRIMING,mixed,other,audio/death_whistle_315.wav,audio/white_noise_315.wav,A,315,315,ambiguous,ambiguous,AMBIG_AMBIG,,A,315,1,27.180327868852373,27.180327868852373,B,0.0
20260430_235916_2,1,True,3,AMBIG_AMBIG,zombie,scary,audio/zombie_315.wav,audio/zombie_225.wav,B,315,225,ambiguous,ambiguous,AMBIG_AMBIG,True,B,225,1,15.180327868852373,15.180327868852373,B,1.0
20260430_235916_2,1,True,4,AMBIG_DIST,white_noise,white_noise,audio/white_noise_315.wav,audio/white_noise_90.wav,A,315,90,ambiguous,discrete,AMBIG_DIST,True,A,315,1,3.9672131147540313,3.9672131147540313,B,0.0
20260430_235916_2,1,True,5,AMBIG_DIST,tiger,scary,audio/tiger_270.wav,audio/tiger_45.wav,B,270,45,discrete,ambiguous,AMBIG_DIST,True,B,45,1,6.885245901639337,6.885245901639337,B,1.0
20260430_235916_2,1,True,6,AMBIG_AMBIG,zombie,scary,audio/zombie_225.wav,audio/zombie_180.wav,B,225,180,ambiguous,ambiguous,AMBIG_AMBIG,True,B,180,1,7.671428571428578,7.671428571428578,B,1.0
20260430_235916_2,1,True,7,DIST_DIST,death_whistle,scary,audio/death_whistle_90.wav,audio/death_whistle_270.wav,B,90,270,discrete,discrete,DIST_DIST,True,B,270,0,5.647058823529505,12.34426229508199,B,1.0
20260430_235916_2,1,True,8,AMBIG_AMBIG,scream,scary,audio/scream_135.wav,audio/scream_0.wav,B,135,0,ambiguous,ambiguous,AMBIG_AMBIG,True,B,0,1,9.180327868852373,9.180327868852373,B,1.0
20260430_235916_2,1,True,9,AMBIG_DIST,bear,scary,audio/bear_90.wav,audio/bear_180.wav,A,90,180,discrete,ambiguous,AMBIG_DIST,True,A,90,0,3.688524590163979,3.688524590163979,B,0.0
20260430_235916_2,1,True,10,AMBIG_DIST,death_whistle,scary,audio/death_whistle_135.wav,audio/death_whistle_90.wav,A,135,90,ambiguous,discrete,AMBIG_DIST,True,A,135,1,6.426229508196684,6.426229508196684,B,0.0
20260430_235916_2,1,True,11,AMBIG_DIST,zombie,scary,audio/zombie_270.wav,audio/zombie_225.wav,B,270,225,discrete,ambiguous,AMBIG_DIST,True,B,225,1,6.442622950819668,6.442622950819668,B,1.0
20260430_235916_2,1,True,12,AMBIG_DIST,tiger,scary,audio/tiger_270.wav,audio/tiger_0.wav,B,270,0,discrete,ambiguous,AMBIG_DIST,True,B,0,1,5.34426229508199,5.34426229508199,B,1.0
20260430_235916_2,1,True,13,DIST_DIST,white_noise,white_noise,audio/white_noise_270.wav,audio/white_noise_90.wav,B,270,90,discrete,discrete,DIST_DIST,True,B,90,0,3.5409836065573472,3.5409836065573472,B,1.0
20260430_235916_2,1,True,14,DIST_DIST,zombie,scary,audio/zombie_270.wav,audio/zombie_90.wav,A,270,90,discrete,discrete,DIST_DIST,True,A,270,0,5.524590163934363,5.524590163934363,B,0.0
20260501_001734_3,2,True,1,PRIMING,mixed,other,audio/white_noise_225.wav,audio/zombie_225.wav,B,225,225,ambiguous,ambiguous,AMBIG_AMBIG,,B,225,1,54.80487804878044,54.80487804878044,B,1.0
20260501_001734_3,2,True,2,PRIMING,mixed,other,audio/bear_0.wav,audio/scream_0.wav,B,0,0,ambiguous,ambiguous,AMBIG_AMBIG,,B,0,1,5.536585365853625,5.536585365853625,B,1.0
20260501_001734_3,2,True,3,AMBIG_DIST,tiger,scary,audio/tiger_45.wav,audio/tiger_90.wav,B,45,90,ambiguous,discrete,AMBIG_DIST,True,B,90,0,10.195121951219562,10.195121951219562,B,1.0
20260501_001734_3,2,True,4,AMBIG_AMBIG,zombie,scary,audio/zombie_180.wav,audio/zombie_225.wav,B,180,225,ambiguous,ambiguous,AMBIG_AMBIG,True,B,225,1,7.463414634146375,7.463414634146375,B,1.0
20260501_001734_3,2,True,5,DIST_DIST,white_noise,white_noise,audio/white_noise_270.wav,audio/white_noise_90.wav,A,270,90,discrete,discrete,DIST_DIST,True,A,270,0,6.121951219512084,6.121951219512084,B,0.0
20260501_001734_3,2,True,6,AMBIG_DIST,zombie,scary,audio/zombie_0.wav,audio/zombie_270.wav,A,0,270,ambiguous,discrete,AMBIG_DIST,True,A,0,1,3.6829268292683537,3.6829268292683537,B,0.0
20260501_001734_3,2,True,7,DIST_DIST,death_whistle,scary,audio/death_whistle_90.wav,audio/death_whistle_270.wav,A,90,270,discrete,discrete,DIST_DIST,True,A,90,0,8.390243902439124,11.414634146341541,B,0.0
20260501_001734_3,2,True,8,AMBIG_DIST,white_noise,white_noise,audio/white_noise_135.wav,audio/white_noise_270.wav,A,135,270,ambiguous,discrete,AMBIG_DIST,True,A,135,1,4.560975609756042,4.560975609756042,B,0.0
20260501_001734_3,2,True,9,AMBIG_DIST,white_noise,white_noise,audio/white_noise_270.wav,audio/white_noise_225.wav,B,270,225,discrete,ambiguous,AMBIG_DIST,True,B,225,1,5.146341463414728,5.146341463414728,B,1.0
20260501_001734_3,2,True,10,AMBIG_DIST,tiger,scary,audio/tiger_315.wav,audio/tiger_90.wav,B,315,90,ambiguous,discrete,AMBIG_DIST,True,B,90,0,6.9268292682927495,6.9268292682927495,B,1.0
20260501_001734_3,2,True,11,DIST_DIST,tiger,scary,audio/tiger_90.wav,audio/tiger_270.wav,A,90,270,discrete,discrete,DIST_DIST,True,A,90,0,6.170731707317145,5.0731707317072505,A,1.0
20260501_001734_3,2,True,12,AMBIG_AMBIG,scream,scary,audio/scream_315.wav,audio/scream_45.wav,A,315,45,ambiguous,ambiguous,AMBIG_AMBIG,True,A,315,1,7.463414634146375,7.463414634146375,B,0.0
20260501_001734_3,2,True,13,AMBIG_DIST,zombie,scary,audio/zombie_180.wav,audio/zombie_90.wav,A,180,90,ambiguous,discrete,AMBIG_DIST,True,A,180,1,7.63414634146352,7.63414634146352,B,0.0
20260501_001734_3,2,True,14,AMBIG_AMBIG,zombie,scary,audio/zombie_45.wav,audio/zombie_315.wav,B,45,315,ambiguous,ambiguous,AMBIG_AMBIG,True,B,315,1,6.585365853658459,6.585365853658459,B,1.0
20260501_003029_4,3,True,1,PRIMING,mixed,other,audio/zombie_270.wav,audio/scream_270.wav,A,270,270,discrete,discrete,DIST_DIST,,A,270,0,0.8809953584320738,0.8809953584320738,B,0.0
20260501_003029_4,3,True,2,PRIMING,mixed,other,audio/death_whistle_315.wav,audio/bear_315.wav,A,315,315,ambiguous,ambiguous,AMBIG_AMBIG,,A,315,1,3.024390243902417,3.024390243902417,B,0.0
20260501_003029_4,3,True,3,AMBIG_DIST,white_noise,white_noise,audio/white_noise_90.wav,audio/white_noise_45.wav,A,90,45,discrete,ambiguous,AMBIG_DIST,True,A,90,0,5.439024390243958,5.439024390243958,B,0.0
20260501_003029_4,3,True,4,DIST_DIST,scream,scary,audio/scream_90.wav,audio/scream_270.wav,A,90,270,discrete,discrete,DIST_DIST,True,A,90,0,3.560975609756042,5.243902439024396,B,0.0
20260501_003029_4,3,True,5,DIST_DIST,death_whistle,scary,audio/death_whistle_90.wav,audio/death_whistle_270.wav,A,90,270,discrete,discrete,DIST_DIST,True,A,90,0,5.7073170731707705,13.07317073170725,B,0.0
20260501_003029_4,3,True,6,AMBIG_AMBIG,bear,scary,audio/bear_315.wav,audio/bear_45.wav,A,315,45,ambiguous,ambiguous,AMBIG_AMBIG,True,A,315,1,8.29268292682923,8.29268292682923,B,0.0
20260501_003029_4,3,True,7,DIST_DIST,zombie,scary,audio/zombie_90.wav,audio/zombie_270.wav,A,90,270,discrete,discrete,DIST_DIST,True,A,90,0,6.024390243902417,6.024390243902417,B,0.0
20260501_003029_4,3,True,8,AMBIG_DIST,scream,scary,audio/scream_90.wav,audio/scream_45.wav,B,90,45,discrete,ambiguous,AMBIG_DIST,True,B,45,1,4.829268292682855,4.829268292682855,B,1.0
20260501_003029_4,3,True,9,AMBIG_DIST,death_whistle,scary,audio/death_whistle_270.wav,audio/death_whistle_45.wav,B,270,45,discrete,ambiguous,AMBIG_DIST,True,B,45,1,14.36585365853648,14.36585365853648,B,1.0
20260501_003029_4,3,True,10,AMBIG_DIST,bear,scary,audio/bear_90.wav,audio/bear_180.wav,B,90,180,discrete,ambiguous,AMBIG_DIST,True,B,180,1,4.658536585365937,4.658536585365937,B,1.0
20260501_003029_4,3,True,11,AMBIG_AMBIG,death_whistle,scary,audio/death_whistle_315.wav,audio/death_whistle_0.wav,B,315,0,ambiguous,ambiguous,AMBIG_AMBIG,True,B,0,1,16.450000000000045,16.450000000000045,B,1.0
20260501_003029_4,3,True,12,AMBIG_AMBIG,zombie,scary,audio/zombie_45.wav,audio/zombie_315.wav,B,45,315,ambiguous,ambiguous,AMBIG_AMBIG,True,B,315,1,4.512195121951208,4.512195121951208,B,1.0
20260501_003029_4,3,True,13,AMBIG_DIST,zombie,scary,audio/zombie_135.wav,audio/zombie_270.wav,B,135,270,ambiguous,discrete,AMBIG_DIST,True,B,270,0,15.63414634146352,15.63414634146352,B,1.0
20260501_003029_4,3,True,14,AMBIG_DIST,bear,scary,audio/bear_225.wav,audio/bear_90.wav,A,225,90,ambiguous,discrete,AMBIG_DIST,True,A,225,1,7.2926829268292295,7.2926829268292295,B,0.0
20260501_035555_5,4,True,1,PRIMING,mixed,other,audio/zombie_315.wav,audio/scream_315.wav,A,315,315,ambiguous,ambiguous,AMBIG_AMBIG,,A,315,1,4.390243902439124,4.390243902439124,B,0.0
20260501_035555_5,4,True,2,PRIMING,mixed,other,audio/scream_315.wav,audio/zombie_315.wav,A,315,315,ambiguous,ambiguous,AMBIG_AMBIG,,A,315,1,61.22222222222217,5.0731707317072505,A,1.0
