participant,trial,type,reason
20260430_233729_1,14,AMBIG_DIST,"A_delta=60.69, B_delta=60.69, A>20.0, B>20.0"
20260430_235916_2,2,PRIMING,"A_delta=27.18, B_delta=27.18, A>20.0, B>20.0"
20260430_235916_2,3,AMBIG_AMBIG,"A_delta=15.18, B_delta=15.18"
20260430_235916_2,7,DIST_DIST,B_delta=12.34
20260501_001734_3,1,PRIMING,"A_delta=54.80, B_delta=54.80, A>20.0, B>20.0"
20260501_003029_4,5,DIST_DIST,B_delta=13.07
20260501_003029_4,9,AMBIG_DIST,"A_delta=14.37, B_delta=14.37"
20260501_003029_4,11,AMBIG_AMBIG,"A_delta=16.45, B_delta=16.45"
20260501_003029_4,13,AMBIG_DIST,"A_delta=15.63, B_delta=15.63"
20260501_035555_5,2,PRIMING,"A_delta=61.22, A>20.0"
20260509_163714_6,12,AMBIG_DIST,"A_delta=-10.98, B_delta=-10.98"
20260509_163714_6,13,AMBIG_AMBIG,"A_delta=98.71, B_delta=98.71, A>20.0, B>20.0"
20260510_222645_8,3,DIST_DIST,"A_delta=-21.83, B_delta=-21.83"
20260510_222645_8,4,DIST_DIST,"A_delta=-23.34, B_delta=-23.34"
20260510_222645_8,5,AMBIG_DIST,"A_delta=-12.80, B_delta=-12.80"
20260510_222645_8,6,DIST_DIST,B_delta=-9.68
20260510_222645_8,9,AMBIG_DIST,"A_delta=77.12, B_delta=77.12, A>20.0, B>20.0"
20260510_222645_8,10,AMBIG_AMBIG,"A_delta=-8.49, B_delta=-8.49"
20260510_222645_8,13,AMBIG_DIST,"A_delta=-5.05, B_delta=24.39, B>20.0"
