participant,participant_index,has_gsr,trial,type,sound,sound_group,file_A,file_B,choice,A_angle,B_angle,A_kind,B_kind,pair_class,trial_type_matches_inferred,chosen_side,chosen_angle,chosen_is_ambiguous,A_delta,B_delta,phys_choice,match
20260430_233729_1,0,True,1,PRIMING,mixed,other,audio/scream_225.wav,audio/bear_225.wav,A,225,225,ambiguous,ambiguous,AMBIG_AMBIG,False,A,225,1,6.228813559322134,6.228813559322134,B,0.0
20260430_233729_1,0,True,2,PRIMING,mixed,other,audio/death_whistle_225.wav,audio/white_noise_225.wav,A,225,225,ambiguous,ambiguous,AMBIG_AMBIG,False,A,225,1,5.754098360655689,5.754098360655689,B,0.0
20260430_235916_2,1,True,1,PRIMING,mixed,other,audio/death_whistle_90.wav,audio/scream_90.wav,B,90,90,discrete,discrete,DIST_DIST,False,B,90,0,5.672131147540995,5.672131147540995,B,1.0
20260430_235916_2,1,True,2,PRIMING,mixed,other,audio/death_whistle_315.wav,audio/white_noise_315.wav,A,315,315,ambiguous,ambiguous,AMBIG_AMBIG,False,A,315,1,27.180327868852373,27.180327868852373,B,0.0
20260501_001734_3,2,True,1,PRIMING,mixed,other,audio/white_noise_225.wav,audio/zombie_225.wav,B,225,225,ambiguous,ambiguous,AMBIG_AMBIG,False,B,225,1,54.80487804878044,54.80487804878044,B,1.0
20260501_001734_3,2,True,2,PRIMING,mixed,other,audio/bear_0.wav,audio/scream_0.wav,B,0,0,ambiguous,ambiguous,AMBIG_AMBIG,False,B,0,1,5.536585365853625,5.536585365853625,B,1.0
20260501_003029_4,3,True,1,PRIMING,mixed,other,audio/zombie_270.wav,audio/scream_270.wav,A,270,270,discrete,discrete,DIST_DIST,False,A,270,0,0.8809953584320738,0.8809953584320738,B,0.0
20260501_003029_4,3,True,2,PRIMING,mixed,other,audio/death_whistle_315.wav,audio/bear_315.wav,A,315,315,ambiguous,ambiguous,AMBIG_AMBIG,False,A,315,1,3.024390243902417,3.024390243902417,B,0.0
20260501_035555_5,4,True,1,PRIMING,mixed,other,audio/zombie_315.wav,audio/scream_315.wav,A,315,315,ambiguous,ambiguous,AMBIG_AMBIG,False,A,315,1,4.390243902439124,4.390243902439124,B,0.0
20260501_035555_5,4,True,2,PRIMING,mixed,other,audio/scream_315.wav,audio/zombie_315.wav,A,315,315,ambiguous,ambiguous,AMBIG_AMBIG,False,A,315,1,61.22222222222217,5.0731707317072505,A,1.0
20260509_163714_6,5,True,1,PRIMING,mixed,other,audio/tiger_45.wav,audio/white_noise_45.wav,B,45,45,ambiguous,ambiguous,AMBIG_AMBIG,False,B,45,1,1.3170731707318737,2.1951219512193347,B,1.0
20260509_163714_6,5,True,2,PRIMING,mixed,other,audio/death_whistle_315.wav,audio/bear_315.wav,A,315,315,ambiguous,ambiguous,AMBIG_AMBIG,False,A,315,1,2.26829268292704,2.26829268292704,B,0.0
20260509_165613_7,6,True,1,PRIMING,mixed,other,audio/scream_270.wav,audio/death_whistle_270.wav,B,270,270,discrete,discrete,DIST_DIST,False,B,270,0,0.7539308176101258,1.7073170731705432,B,1.0
20260509_165613_7,6,True,2,PRIMING,mixed,other,audio/white_noise_90.wav,audio/bear_90.wav,A,90,90,discrete,discrete,DIST_DIST,False,A,90,0,0.7804878048782484,0.7804878048782484,B,0.0
20260510_222645_8,7,True,1,PRIMING,mixed,other,audio/scream_90.wav,audio/bear_90.wav,A,90,90,discrete,discrete,DIST_DIST,False,A,90,0,1.560975609756042,1.560975609756042,B,0.0
20260510_222645_8,7,True,2,PRIMING,mixed,other,audio/zombie_225.wav,audio/death_whistle_225.wav,B,225,225,ambiguous,ambiguous,AMBIG_AMBIG,False,B,225,1,1.560975609756042,1.560975609756042,B,1.0
20260510_223607_9,8,True,1,PRIMING,mixed,other,audio/zombie_270.wav,audio/death_whistle_270.wav,A,270,270,discrete,discrete,DIST_DIST,False,A,270,0,1.5657894736841627,1.5657894736841627,B,0.0
20260510_223607_9,8,True,2,PRIMING,mixed,other,audio/bear_90.wav,audio/zombie_90.wav,B,90,90,discrete,discrete,DIST_DIST,False,B,90,0,1.414634146341541,1.414634146341541,B,1.0
20260510_224329_10,9,True,1,PRIMING,mixed,other,audio/zombie_315.wav,audio/tiger_315.wav,A,315,315,ambiguous,ambiguous,AMBIG_AMBIG,False,A,315,1,1.5121951219512084,1.5121951219512084,B,0.0
20260510_224329_10,9,True,2,PRIMING,mixed,other,audio/white_noise_135.wav,audio/tiger_135.wav,A,135,135,ambiguous,ambiguous,AMBIG_AMBIG,False,A,135,1,1.560975609756042,1.560975609756042,B,0.0
